"HolderAddress","BalanceInETH","Timeframe"
0xe4335ba33bad71641ac6dcd767cf3b92b8fe0b70,36013.478460606310776832,181 to 360 days
0xb50d4817a50097be0566682e1842465eda1028b4,35506.849315068493955072,Up to 30 days
0xa7a971c22541fa0c831b2e081e4c66ff55b74e40,35000.000000000002097152,91 to 180 days
0x4e3cdc0a29d0a77c8fa576c612cd2dc6649572cd,35000.000000000002097152,31 to 90 days
0x5f65f7b609678448494de4c87521cdf6cef1e932,33517.019570211618029568,Over 360 days
0x10dce18d6b5c779bc8de620f8d0a561dfc3a51f0,32448.965541760002424832,31 to 90 days
0xb724c21b6ef6d23ebe0b2f86676a928b51656def,30000.0,Over 360 days
0x2e485b22779bc59b2c79e9ed82430063d52ac55a,30000.0,181 to 360 days
0xb0c705882afc613430d4e5f3ab07feeb3cc6c984,28956.78750967491198976,Over 360 days
0x2407b9b9662d970ece2224a0403d3b15c7e4d1fe,27998.050000000000196608,Up to 30 days
0x8bea71a28a36b16732bc1f0a9387c5b81afa066c,26669.115875112366637056,91 to 180 days
0x99b85cf530ce0c5e0bea4a0b771ef1d503328a06,26456.116108379576860672,181 to 360 days
0xfbbb0db0b33dc38c65443e4f3aeae2b79a0d35f6,25953.86999452987293696,Over 360 days
0x7b6ab2ca4bb7b456161baa8d395c4dfc94658d90,25400.980758900001210368,Up to 30 days
0x107961d1d8416a3c807b5a927008eb2a618e1cf0,24189.991628220328312832,31 to 90 days
0xc2a2f4acdcef1127cc191e6bd3cc6d3aab4e2c49,23722.486738180336779264,Over 360 days
0x446b86a33e2a438f569b15855189e3da28d027ba,23204.256764144000172032,Up to 30 days
0x331b226c3f46e2b9a63bfbb44ae2de1ffbc81236,22379.654060854642475008,91 to 180 days
0x4fb312915b779b1339388e14b6d079741ca83128,21653.999999999998427136,181 to 360 days
0x67ee5e30eb775c208a89396565a5da9ea66cc0c7,20831.813619999999787008,181 to 360 days
0x7a9e6d69f3f8c4aa5e57c566df45c3e3ed301fd9,20400.657534246574882816,Up to 30 days
0xb8d211e179b3d74d9cce156df4fe278538ee2892,20000.0,Over 360 days
0x20a3a4ae2aacb8bbcfd89dc71280dd18cd9a0cb4,19747.266486415399059456,181 to 360 days
0x91de8f23cb7112609213f287b731c37813a979de,18120.0,Over 360 days
0x56244e965c5f62e7fde479a2ca028c351c1c5426,17924.100778100007108608,Over 360 days
0x3d726a0363908df56e4849ff14c00828e794837d,17517.775639068062777344,91 to 180 days
0x9642b23ed1e01df1092b92641051881a322f5d4e,17492.208585440778780672,Up to 30 days
0xf73778df9745837e8e69abf7ec1960126809fd08,17022.817020632843157504,Up to 30 days
0x2e800f666b592f6bd1311b0eb240afa270498d4b,16394.142460083722780672,181 to 360 days
0xbf8c461d91ca8a83fcdc4aee692b0d8c77c30cd3,16350.000000000000524288,Over 360 days
0x020b4cf71a645a43f2105df57185fcd289a79cb2,16350.000000000000524288,Over 360 days
0x9a214b0eebae9f6ba82e3d5677559bcafa9d681e,16350.000000000000524288,Over 360 days
0xb8e6d31e7b212b2b7250ee9c26c56cebbfbe6b23,15936.171176096000114688,Up to 30 days
0xfbc3b76a206f03f1edbf411f280444cd3fd9c7c8,15412.324167004891119616,Up to 30 days
0xa7b09a2d28e25fbc7fe41416e8d0f8c69b148d4b,15357.447680696183160832,31 to 90 days
0x8661099b7dd3f7b253e64d3d15a67f04bc94f070,15205.479452054795583488,Up to 30 days
0xc6f253a6dbfe9e8e5068dd0d2e1ec0afcb830870,15159.73364013000032256,31 to 90 days
0x2bc2390c826ae5a86fb0e2cb88eb15344a6f3183,15053.000000000000786432,91 to 180 days
0xff8c40c1cf896a2b5292c84dcec1be7b4ef8c91e,15000.0,Over 360 days
0xbdb97c2d73f5ec7f0ef8944a128fa2a12354a6a9,14685.670000000000589824,Up to 30 days
0x6a955df8f99d2a3054f9e270658b8f4bf4fdde08,14620.55755684000038912,Up to 30 days
0xcca4d53083ee1ca3631f19c5a5c9d24a87c4ae26,14000.636363635999899648,181 to 360 days
0xaef5d3637b2f728aad389af6a4a28eee87270c5f,13750.143248945500913664,181 to 360 days
0x1d82f71e952ff043e13fa08490ec4630201957af,13297.769289999999565824,Over 360 days
